i, row-wise, col-wise, row-wise/col-wise
0, 0.000419, 0.000153,2.73856
100, 0.086651, 0.105729,0.819558
200, 0.337302, 0.424528,0.794534
300, 0.280717, 0.396345,0.708264
400, 0.475981, 0.612639,0.776936
500, 0.763221, 1.53278,0.497932
600, 1.03641, 1.26138,0.821649
700, 1.29786, 1.59648,0.81295
800, 1.63084, 2.17462,0.74994
900, 2.11672, 2.63945,0.801955
1000, 2.50106, 3.54953,0.704615
1100, 3.13499, 4.35363,0.720086
1200, 3.9184, 4.88419,0.802262
1300, 5.16439, 5.98795,0.862464
1400, 5.81858, 7.00533,0.830593
1500, 6.18773, 10.4858,0.590109
1600, 7.54525, 11.4161,0.660931
1700, 8.66734, 14.3902,0.602309
1800, 9.95631, 17.1854,0.579348
1900, 11.0688, 22.3772,0.494649
2000, 13.5552, 22.5226,0.601847
2100, 14.1143, 24.9828,0.564961
2200, 15.5668, 25.4561,0.611514
2300, 16.408, 46.093,0.355976
2400, 17.6395, 33.9553,0.519492
2500, 20.0388, 37.2183,0.538413
2600, 22.0805, 38.9783,0.566481
2700, 23.6672, 44.5547,0.531195
2800, 25.5345, 47.2535,0.540373
2900, 27.4563, 51.7479,0.530578
3000, 29.7171, 54.2053,0.548232
3100, 31.466, 61.5489,0.511236
3200, 33.8194, 65.3924,0.517175
3300, 36.3286, 68.3506,0.531503
3400, 38.2714, 72.7922,0.525762
3500, 41.4469, 78.0489,0.531038
3600, 44.1749, 82.2412,0.537138
3700, 45.5127, 85.7209,0.53094
3800, 49.5714, 93.494,0.53021
3900, 51.8049, 103.808,0.499045
4000, 54.0774, 105.406,0.51304
4100, 58.1884, 136.573,0.426061
4200, 60.8877, 116.878,0.520952
4300, 63.9133, 125.64,0.508701
4400, 69.8986, 127.671,0.547491
4500, 69.9449, 135.253,0.517142
4600, 75.1793, 186.448,0.403218
4700, 86.9135, 170.019,0.511198
4800, 82.0148, 155.617,0.527031
4900, 82.0736, 161.902,0.506934
5000, 85.8702, 170.156,0.504656
5100, 89.0615, 179.334,0.496624
5200, 93.32, 185.781,0.502312
5300, 98.5639, 203.566,0.484186
5400, 103.002, 226.122,0.455518
5500, 151.852, 302.948,0.501249
5600, 112.424, 239.328,0.469749
5700, 122.267, 244.395,0.500285
5800, 117.371, 239.052,0.490986
5900, 121.78, 248.165,0.490723
6000, 127.364, 258.542,0.492625
6100, 131.354, 264.779,0.496089
6200, 132.539, 276.774,0.478873
6300, 138.05, 295.234,0.467594
6400, 140.422, 299.088,0.469501
6500, 151.704, 307.252,0.493743
6600, 150.063, 314.029,0.477863
6700, 154.71, 329.116,0.470078
6800, 160.283, 335.828,0.477278
6900, 165.181, 347.594,0.475214
7000, 170.342, 360.932,0.471951
7100, 174.035, 420.511,0.413866
7200, 179.969, 380.83,0.472571
7300, 188.484, 419.242,0.449583
7400, 190, 406.407,0.467511
7500, 195.747, 431.594,0.453544
7600, 200.286, 429.265,0.466579
7700, 207.253, 442.088,0.468804
7800, 211.476, 455.231,0.464547
7900, 217.038, 494.109,0.439251
8000, 222.364, 481.256,0.462049
8100, 230.223, 495.306,0.464809
8200, 235.391, 533.352,0.441343
8300, 248.552, 547.815,0.453715
8400, 254.155, 559.177,0.454516
8500, 260.189, 568.012,0.45807
8600, 264.547, 596.867,0.443226
8700, 270.545, 1040.21,0.260088
8800, 277.395, 606.874,0.457088
8900, 284.472, 615.83,0.461932
9000, 289.082, 634.402,0.455677
9100, 294.423, 668.263,0.44058
9200, 300.897, 657.128,0.457897
9300, 305.548, 675.272,0.452481
9400, 315.573, 677.831,0.465563
9500, 319.934, 869.065,0.368136
9600, 329.789, 713.383,0.462289
9700, 334.637, 725.56,0.461212
9800, 339.799, 742.328,0.457748
9900, 346.388, 785.604,0.440919